#transitid, bp samples (60), rp samples (60)
 18842 18578 18382 18256 18201 18181 18159 18137 18129 18114 18109 18120],[27001 27089 27151 27262 27524 28125 29140 32003 35494 36702 36793 36752
 37443 37944 37967 38073 38163 38237 38312 38314 38385 38553 38499 38344
 38276 38093 37803 37702 37439 37065 36633 36240 35716 35057 34572 33723
 32897 31917 30926 30062 29310 28534 27947 27482 27186 27007 26941 26889
 26850 26808 26812 26790 26787 26767 26761 26748 26751 26736 26742 59714]
96429812691820999,[19577 19623 19649 19695 19710 19769 19874 19992 20089 20217 20465 21220
 22862 28903 40213 46666 48693 49220 49625 49558 49332 48986 48283 46981
 46134 46127 45311 43917 42276 40190 39322 37983 35348 33289 30583 27811
 25575 23881 22839 22067 21681 21449 21268 20987 20884 20805 20603 20343
 20037 19785 19643 19554 19512 19471 19448 19431 19443 19424 19434 19436],[28047 28073 28112 28145 28211 28288 28365 28530 28894 29623 30987 34275
 37390 38159 38337 38150 38787 39187 39316 39568 39560 39615 39803 39739
 39827 39793 39766 39747 39652 39431 39280 39013 38806 38572 38087 37496
 37122 36685 36019 35251 34445 33507 32689 31713 30913 30145 29444 28944
 28554 28313 28190 28120 28080 28053 28014 27994 27995 27986 27971 31864]
114303677361435533,[18858 18879 18904 18924 18983 18990 19032 19073 19123 19218 19346 19495
 19628 19820 20148 21982 30831 41583 44672 45748 46410 46328 46194 45677
 45206 44578 43169 42079 42283 41556 40662 39498 37358 36754 36003 34119
 32117 30356 27655 25452 23576 22387 21495 20998 20714 20577 20395 20110
 20055 20148 19953 19707 19512 19298 19110 19090 19055 18974 18942 18914],[32117 32276 32490 32702 33064 33654 34867 37445 43340 56068 66033 68584
 68790 68125 69980 71753 72579 72632 73009 72969 73603 73497 73634 73791
 73864 73560 73383 72849 72143 71572 71044 70066 68949 67471 66054 64530
 62753 60997 58477 55607 52555 49629 46425 43339 40691 38091 35984 34484
 33410 32835 32481 32286 32100 32025 31920 31874 31819 31761 31743 31750]
114307769628140569,[17342 17362 17418 17437 17475 17537 17613 17712 17883 18085 18371 19006
 21182 30288 41432 44510 45211 45270 45521 45385 44914 44245 43610 42152
 40811 41024 40407 39319 38229 36376 35035 34851 33235 30940 29761 26934
 24782 22650 21154 20133 19490 19148 18961 18849 18560 18404 18368 18306
 18071 17888 17642 17444 17329 17264 17255 17252 17257 17231 17226 17216],[28946 29068 29198 29411 29642 29979 30670 31946 34348 38386 46120 57217
 64080 66390 66775 66922 68556 69945 70625 70760 71056 71249 71627 71555
 71900 71877 71900 71615 71297 70707 69949 69137 68609 67724 66361 64984
 63495 61425 59695 57724 55213 52675 49696 46635 43257 40167 37714 35281
 33173 31576 30362 29710 29293 29068 28940 28850 28754 28700 28657 28643]
116663554355143129,[17354 17394 17416 17461 17497 17556 17676 17764 17949 18156 18482 19334
 22766 33922 42904 44447 45309 45591 45441 45089 44457 43886 42930 41356
 40705 40741 39798 38997 37682 35462 35049 34406 32391 30410 28787 25883
 23833 21980 20646 19816 19214 18998 18873 18702 18497 18431 18385 18220
 17992 17777 17555 17375 17293 17264 17248 17249 17221 17214 17220 17225],[28483 28487 28539 28585 28668 28801 29046 29504 30317 31767 34343 36756
 37739 38048 37913 38364 38682 38863 38979 39030 39143 39139 39195 39262
 39315 39303 39356 39161 39011 38979 38718 38724 38419 38123 37798 37295
 37011 36480 36071 35504 34819 34055 33270 32455 31676 30946 30259 29675
 29227 28888 28699 28573 28508 28460 28430 28398 28379 28392 28373 85955]
124463224159605963,[18208 18211 18271 18277 18330 18357 18392 18490 18657 18751 18903 19162
 19454 21283 29509 39620 42567 43932 44350 44299 43933 43520 42948 42401
 41325 40012 40201 39720 38899 38105 36451 34837 34680 33464 31424 30020
 27922 25654 23659 22199 21210 20486 20070 19883 19839 19684 19494 19422
 19306 19146 19044 18847 18618 18444 18396 18337 18226 18225 18242 18174],[28757 28748 28774 28781 28805 28838 28896 28999 29103 29206 29423 29884
 30757 32543 35735 37612 38024 37774 37954 38536 38767 38825 38936 38941
 38968 38999 39039 39018 39077 39089 38959 38799 38815 38644 38402 38221
 38077 37856 37473 37182 36559 36294 35899 35440 34733 34029 33294 32587
 31891 31282 30628 30045 29576 29268 29054 28935 28872 28833 28808 28774]
124467316427511222,[19585 19618 19655 19683 19709 19742 19801 19860 20018 20116 20294 20506
 20997 21949 27013 39587 47283 48700 49316 49592 49308 48971 48251 47440
 45957 44784 45014 44473 43700 42649 40290 39630 39006 36847 34558 32540
 29448 26935 24874 23503 22523 21970 21706 21517 21241 21084 21067 20856
 20683 20374 20027 19783 19642 19567 19526 19514 19499 19503 19479 19478],[29605 29612 29639 29655 29668 29701 29769 29865 29990 30296 30760 31613
 33063 36059 38527 39391 39517 39365 39982 40305 40498 40613 40641 40732
 40829 40823 40924 40902 40836 40814 40733 40580 40426 40130 40049 39650
 39260 38759 38330 37901 37330 36710 35934 35072 34162 33345 32578 31880
 31191 30631 30200 29938 29784 29705 29643 29616 29595 29571 29561 29557]
145050032849614473,[18297 18351 18364 18406 18478 18546 18653 18756 18905 19055 19672 21208
 29151 42064 47343 47924 48294 48015 47862 47187 46710 45816 44448 44232
 44148 43162 41764 39744 38002 37441 35526 32969 30968 27829 25323 23264
 21894 20906 20408 20117 19935 19730 19480 19431 19293 19082 18830 18566
 18367 18270 18217 18184 18152 18138 18108 18130 18106 18124 18097 18121],[26847 26889 26918 26964 27029 27126 27279 27536 28204 29311 32197 35457
